id,Image,Hurricane,Damage,OnLineC,LinesC
7402,I32,H1,0,0.5,0.5
7433,I1,H3,0,-0.5,-0.5
7433,I2,H3,0,-0.5,-0.5
7433,I3,H3,0,-0.5,-0.5
7433,I4,H3,0,-0.5,-0.5
7433,I5,H3,0,0.5,-0.5
7433,I6,H3,0,0.5,-0.5
7433,I7,H3,0,0.5,-0.5
7433,I8,H3,0,0.5,-0.5
7433,I9,H3,0,-0.5,0.5
7433,I10,H3,0,-0.5,0.5
7433,I11,H3,0,-0.5,0.5
7433,I12,H3,0,-0.5,0.5
7433,I13,H3,0,0.5,0.5
7433,I14,H3,0,0.5,0.5
7433,I15,H3,0,0.5,0.5
7433,I16,H3,0,0.5,0.5
7433,I17,H1,0,-0.5,-0.5
7433,I18,H1,0,-0.5,-0.5
7433,I19,H1,0,-0.5,-0.5
7433,I20,H1,0,-0.5,-0.5
7433,I21,H1,0,0.5,-0.5
7433,I22,H1,0,0.5,-0.5
7433,I23,H1,0,0.5,-0.5
7433,I24,H1,0,0.5,-0.5
7433,I25,H1,0,-0.5,0.5
7433,I26,H1,0,-0.5,0.5
7433,I27,H1,0,-0.5,0.5
7433,I28,H1,0,-0.5,0.5
7433,I29,H1,0,0.5,0.5
7433,I30,H1,0,0.5,0.5
7433,I31,H1,0,0.5,0.5
7433,I32,H1,0,0.5,0.5
7488,I1,H3,1,-0.5,-0.5
7488,I2,H3,1,-0.5,-0.5
7488,I3,H3,1,-0.5,-0.5
7488,I4,H3,1,-0.5,-0.5
7488,I5,H3,0,0.5,-0.5
7488,I6,H3,0,0.5,-0.5
7488,I7,H3,0,0.5,-0.5
7488,I8,H3,0,0.5,-0.5
7488,I9,H3,1,-0.5,0.5
7488,I10,H3,1,-0.5,0.5
7488,I11,H3,1,-0.5,0.5
7488,I12,H3,1,-0.5,0.5
7488,I13,H3,0,0.5,0.5
7488,I14,H3,0,0.5,0.5
7488,I15,H3,0,0.5,0.5
7488,I16,H3,0,0.5,0.5
7488,I17,H1,1,-0.5,-0.5
7488,I18,H1,1,-0.5,-0.5
7488,I19,H1,1,-0.5,-0.5
7488,I20,H1,1,-0.5,-0.5
7488,I21,H1,0,0.5,-0.5
7488,I22,H1,0,0.5,-0.5
7488,I23,H1,0,0.5,-0.5
7488,I24,H1,0,0.5,-0.5
7488,I25,H1,1,-0.5,0.5
7488,I26,H1,1,-0.5,0.5
7488,I27,H1,1,-0.5,0.5
7488,I28,H1,1,-0.5,0.5
7488,I29,H1,0,0.5,0.5
7488,I30,H1,0,0.5,0.5
7488,I31,H1,0,0.5,0.5
7488,I32,H1,0,0.5,0.5
7518,I1,H3,0,-0.5,-0.5
7518,I2,H3,0,-0.5,-0.5
7518,I3,H3,0,-0.5,-0.5
7518,I4,H3,0,-0.5,-0.5
7518,I5,H3,0,0.5,-0.5
7518,I6,H3,0,0.5,-0.5
7518,I7,H3,0,0.5,-0.5
7518,I8,H3,0,0.5,-0.5
7518,I9,H3,0,-0.5,0.5
7518,I10,H3,0,-0.5,0.5
7518,I11,H3,0,-0.5,0.5
7518,I12,H3,0,-0.5,0.5
7518,I13,H3,0,0.5,0.5
7518,I14,H3,0,0.5,0.5
7518,I15,H3,0,0.5,0.5
7518,I16,H3,0,0.5,0.5
7518,I17,H1,0,-0.5,-0.5
7518,I18,H1,0,-0.5,-0.5
7518,I19,H1,0,-0.5,-0.5
7518,I20,H1,0,-0.5,-0.5
7518,I21,H1,0,0.5,-0.5
7518,I22,H1,0,0.5,-0.5
7518,I23,H1,0,0.5,-0.5
7518,I24,H1,0,0.5,-0.5
7518,I25,H1,0,-0.5,0.5
7518,I26,H1,0,-0.5,0.5
7518,I27,H1,0,-0.5,0.5
7518,I28,H1,0,-0.5,0.5
7518,I29,H1,0,0.5,0.5
7518,I30,H1,0,0.5,0.5
