"","id","Image","Hurricane","LineStrg","On Line","Lines","value","DamageC","OnLine"
"453",8470,"I13","H3","A","On","2","A",1,0
"454",6781,"I13","H3","A","On","2","A",1,0
"455",8446,"I13","H3","A","On","2","A",1,0
"456",8659,"I13","H3","A","On","2","A",1,0
"457",8361,"I13","H3","A","On","2","A",1,0
"458",8654,"I13","H3","A","On","2","A",1,0
"459",8350,"I13","H3","A","On","2","A",1,0
"460",8393,"I13","H3","A","On","2","A",1,0
"461",7548,"I13","H3","A","On","2","A",1,0
"462",5927,"I13","H3","A","On","2","A",1,0
"463",8389,"I13","H3","A","On","2","A",1,0
"464",8328,"I13","H3","A","On","2","A",1,0
"465",8216,"I13","H3","A","On","2","A",1,0
"466",8552,"I13","H3","A","On","2","A",1,0
"467",6942,"I13","H3","A","On","2","A",1,0
"468",NA,"I13","H3","A","On","2","",0,0
"469",8329,"I14","H3","B","On","2","Equal damage",0,0
"470",8263,"I14","H3","B","On","2","Equal damage",0,0
"471",8372,"I14","H3","B","On","2","B",1,0
"472",6767,"I14","H3","B","On","2","Equal damage",0,0
"473",8519,"I14","H3","B","On","2","B",1,0
"474",8281,"I14","H3","B","On","2","B",1,0
"475",5971,"I14","H3","B","On","2","B",1,0
"476",8554,"I14","H3","B","On","2","B",1,0
"477",8536,"I14","H3","B","On","2","B",1,0
"478",8108,"I14","H3","B","On","2","Equal damage",0,0
"479",5766,"I14","H3","B","On","2","B",1,0
"480",8556,"I14","H3","B","On","2","B",1,0
"481",8103,"I14","H3","B","On","2","Equal damage",0,0
"482",6402,"I14","H3","B","On","2","B",1,0
"483",8312,"I14","H3","B","On","2","Equal damage",0,0
"484",7699,"I14","H3","B","On","2","B",1,0
"485",8577,"I14","H3","B","On","2","B",1,0
"486",6035,"I14","H3","B","On","2","Equal damage",0,0
"487",8404,"I14","H3","B","On","2","Equal damage",0,0
"488",8290,"I14","H3","B","On","2","B",1,0
"489",8470,"I14","H3","B","On","2","B",1,0
"490",6781,"I14","H3","B","On","2","B",1,0
"491",8446,"I14","H3","B","On","2","B",1,0
"492",8659,"I14","H3","B","On","2","B",1,0
"493",8361,"I14","H3","B","On","2","B",1,0
"494",8654,"I14","H3","B","On","2","Equal damage",0,0
"495",8350,"I14","H3","B","On","2","Equal damage",0,0
"496",8393,"I14","H3","B","On","2","B",1,0
"497",7548,"I14","H3","B","On","2","Equal damage",0,0
"498",5927,"I14","H3","B","On","2","Equal damage",0,0
"499",8389,"I14","H3","B","On","2","Equal damage",0,0
"500",8328,"I14","H3","B","On","2","B",1,0
"501",8216,"I14","H3","B","On","2","B",1,0
"502",8552,"I14","H3","B","On","2","B",1,0
"503",6942,"I14","H3","B","On","2","Equal damage",0,0
"504",NA,"I14","H3","B","On","2","",0,0
"505",8329,"I15","H3","B","On","2","B",1,0
"506",8263,"I15","H3","B","On","2","B",1,0
"507",8372,"I15","H3","B","On","2","B",1,0
"508",6767,"I15","H3","B","On","2","B",1,0
"509",8519,"I15","H3","B","On","2","B",1,0
"510",8281,"I15","H3","B","On","2","B",1,0
"511",5971,"I15","H3","B","On","2","B",1,0
"512",8554,"I15","H3","B","On","2","B",1,0
"513",8536,"I15","H3","B","On","2","B",1,0
"514",8108,"I15","H3","B","On","2","B",1,0
